,Movie Name,Release Year,Rating,Description,Genre
587,Beast,2022,5.6,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,"['Action', ' Adventure', ' Drama']"
588,Death Proof,2007,7.0,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.","['Action', ' Thriller']"
589,Redeeming Love,2022,6.7,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.","['Drama', ' Romance']"
590,Booksmart,2019,7.1,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",['Comedy']
591,Swiss Army Man,2016,6.9,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.","['Comedy', ' Drama', ' Fantasy']"
592,Rocketman,2019,7.3,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,"['Biography', ' Drama', ' Musical']"
593,Halloween Ends,2022,5.0,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.,"['Horror', ' Thriller']"
594,Downton Abbey: A New Era,2022,7.4,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,"['Drama', ' Romance']"
595,Cast Away,2000,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"['Adventure', ' Drama', ' Romance']"
596,Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"['Adventure', ' Family', ' Fantasy']"
597,Memories of Murder,2003,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","['Crime', ' Drama', ' Mystery']"
598,Avengers: Age of Ultron,2015,7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","['Action', ' Adventure', ' Sci-Fi']"
599,The Wedding Year,2019,5.6,A commitment-phobic 27 year old's relationship is put to the test when she and her new boyfriend go to 7 weddings in the same year.,"['Comedy', ' Romance']"
600,Force Majeure,2014,7.2,A family vacationing in the French Alps is confronted with a devastating avalanche.,"['Comedy', ' Drama']"
601,Marlowe,2022,6.0,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.","['Crime', ' Mystery', ' Thriller']"
602,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,"['Action', ' Adventure', ' Fantasy']"
603,Bird Box,2018,6.6,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.","['Horror', ' Mystery', ' Sci-Fi']"
604,Warrior,2011,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","['Action', ' Drama', ' Sport']"
605,Constantine,2005,7.0,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.","['Action', ' Fantasy', ' Horror']"
606,I'm Thinking of Ending Things,2020,6.6,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","['Drama', ' Thriller']"
607,The Passion of the Christ,2004,7.2,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",['Drama']
608,2012,2009,5.8,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"['Action', ' Adventure', ' Sci-Fi']"
609,The 40-Year-Old Virgin,2005,7.1,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.","['Comedy', ' Romance']"
610,Nymphomaniac: Vol. II,2013,6.6,"The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care.",['Drama']
611,Hidden,2015,6.4,A family takes refuge in a bomb shelter to avoid a dangerous outbreak.,"['Horror', ' Sci-Fi', ' Thriller']"
612,Ad Astra,2019,6.5,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","['Adventure', ' Drama', ' Mystery']"
613,Star Trek,2009,7.9,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"['Action', ' Adventure', ' Sci-Fi']"
614,Armageddon Time,2022,6.6,A deeply personal coming-of-age story about the strength of family and the generational pursuit of the American Dream.,['Drama']
615,Gods of Egypt,2016,5.4,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.","['Action', ' Adventure', ' Fantasy']"
616,Mamma Mia!,2008,6.5,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,"['Comedy', ' Musical', ' Romance']"
617,Medieval,2022,5.9,"The story of fifteenth century Czech icon and warlord Jan Zizka, who defeated armies of the Teutonic Order and the Holy Roman Empire.","['Action', ' Drama', ' History']"
618,"I, Tonya",2017,7.5,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","['Biography', ' Comedy', ' Drama']"
619,Star Wars: Episode III - Revenge of the Sith,2005,7.6,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","['Action', ' Adventure', ' Fantasy']"
620,Not Another Teen Movie,2001,5.7,A sendup of all the teen movies that have accumulated in the past two decades.,['Comedy']
621,Theater Camp,2023,7.7,"The eccentric staff of a rundown theater camp in upstate New York, as they band together with the beloved founder's bro-y son to keep the camp afloat, when she falls into a coma right before the summer session is set to begin.",['Comedy']
622,Sweet Home Alabama,2002,6.2,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,"['Comedy', ' Romance']"
623,Van Helsing,2004,6.0,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.","['Action', ' Adventure', ' Fantasy']"
624,28 Weeks Later,2007,6.9,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.","['Action', ' Adventure', ' Horror']"
625,X-Men,2000,7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","['Action', ' Adventure', ' Sci-Fi']"
626,White House Down,2013,6.3,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.","['Action', ' Drama', ' Thriller']"
627,Quantum of Solace,2008,6.6,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,"['Action', ' Adventure', ' Mystery']"
628,Tangled,2010,7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","['Animation', ' Adventure', ' Comedy']"
629,The Princess Diaries,2001,6.4,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","['Comedy', ' Family', ' Romance']"
630,London Has Fallen,2016,5.9,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","['Action', ' Thriller']"
631,Emma.,2020,6.7,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.","['Comedy', ' Drama', ' Romance']"
632,A Simple Favor,2018,6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","['Comedy', ' Crime', ' Mystery']"
633,500 Days of Summer,2009,7.7,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.","['Comedy', ' Drama', ' Romance']"
634,Step Brothers,2008,6.9,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,['Comedy']
635,No Strings Attached,2011,6.2,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.","['Comedy', ' Romance']"
636,The Dead Don't Die,2019,5.4,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,"['Comedy', ' Fantasy', ' Horror']"
637,Darby and the Dead,2022,5.5,"Follows Darby Harper, who is granted the ability to see ghosts after suffering a near death experience in her childhood. Then, she runs a side business counseling local spirits in her spare time.","['Comedy', ' Drama', ' Fantasy']"
638,8 Mile,2002,7.2,"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.","['Drama', ' Music']"
639,The Lost Daughter,2021,6.7,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,['Drama']
640,Bad Boys for Life,2020,6.5,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,"['Action', ' Comedy', ' Crime']"
641,Yesterday,2019,6.8,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,"['Comedy', ' Fantasy', ' Music']"
642,Gone in 60 Seconds,2000,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,"['Action', ' Crime', ' Thriller']"
643,The Favourite,2018,7.5,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.","['Biography', ' Comedy', ' Drama']"
644,Batman v Superman: Dawn of Justice,2016,6.4,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","['Action', ' Adventure', ' Sci-Fi']"
645,Wrong Turn,2003,6.1,"Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide. As they venture deeper into the woods, they face an uncertain and bloodcurdling fate.","['Horror', ' Thriller']"
646,Kingdom of Heaven,2005,7.2,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.","['Action', ' Adventure', ' Drama']"
647,Lost in Translation,2003,7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,"['Comedy', ' Drama']"
648,Moonlight,2016,7.4,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",['Drama']
649,Polar,2019,6.3,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","['Action', ' Thriller']"
650,Sisu,2022,7.5,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.","['Action', ' War']"
651,The Machinist,2004,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"['Drama', ' Thriller']"
652,Freaky,2020,6.3,"After swapping bodies with a deranged serial killer, a high-school senior discovers that she has fewer than 24 hours before the change becomes permanent.","['Comedy', ' Horror', ' Thriller']"
653,Zombieland,2009,7.6,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.","['Action', ' Comedy', ' Horror']"
654,Mid90s,2018,7.3,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.","['Comedy', ' Drama']"
655,Boiling Point,2021,7.5,Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year.,"['Drama', ' Thriller']"
656,Captain Marvel,2019,6.8,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"['Action', ' Adventure', ' Sci-Fi']"
657,Jerry and Marge Go Large,2022,6.9,"Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.","['Biography', ' Comedy', ' Drama']"
658,Transformers: The Last Knight,2017,5.2,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.","['Action', ' Adventure', ' Sci-Fi']"
659,Unbreakable,2000,7.3,A man learns something extraordinary about himself after a devastating accident.,"['Drama', ' Mystery', ' Sci-Fi']"
660,Amélie,2001,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","['Comedy', ' Romance']"
661,Birds of Prey,2020,6.0,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.","['Action', ' Comedy', ' Crime']"
662,Predestination,2014,7.4,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","['Action', ' Drama', ' Sci-Fi']"
663,Purple Hearts,2022,6.7,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.","['Drama', ' Music', ' Romance']"
664,Blood,2022,5.3,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.","['Horror', ' Thriller']"
665,The Forgotten Battle,2020,7.1,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.","['Drama', ' War']"
666,Saw,2004,7.6,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","['Horror', ' Mystery', ' Thriller']"
667,Jack Reacher,2012,7.0,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,"['Action', ' Mystery', ' Thriller']"
668,2 Fast 2 Furious,2003,5.9,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,"['Action', ' Crime', ' Thriller']"
669,Snowpiercer,2013,7.1,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","['Action', ' Drama', ' Sci-Fi']"
670,Creed II,2018,7.1,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.","['Action', ' Drama', ' Sport']"
671,The Curious Case of Benjamin Button,2008,7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","['Drama', ' Fantasy', ' Romance']"
672,Blue Valentine,2010,7.3,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","['Drama', ' Romance']"
673,Bridge to Terabithia,2007,7.2,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,"['Drama', ' Family', ' Fantasy']"
674,First Man,2018,7.3,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.","['Biography', ' Drama', ' History']"
675,The Mummy,2017,5.4,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","['Action', ' Adventure', ' Fantasy']"
676,"Monsters, Inc.",2001,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","['Animation', ' Adventure', ' Comedy']"
677,The Equalizer 2,2018,6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?","['Action', ' Crime', ' Thriller']"
678,Sam & Kate,2022,6.0,A son returns to his small hometown to take care of his ailing father.,"['Comedy', ' Drama', ' Romance']"
679,Moulin Rouge!,2001,7.6,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,"['Drama', ' Musical', ' Romance']"
680,How to Train Your Dragon,2010,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","['Animation', ' Action', ' Adventure']"
681,I Used to Be Famous,2022,6.6,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.","['Comedy', ' Drama', ' Music']"
682,Den of Thieves,2018,7.0,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,"['Action', ' Crime', ' Drama']"
683,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,"Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.","['Biography', ' Crime', ' Drama']"
684,Underworld,2003,7.0,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.","['Action', ' Fantasy', ' Thriller']"
685,Jumanji: The Next Level,2019,6.7,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","['Action', ' Adventure', ' Comedy']"
686,Nomadland,2020,7.3,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",['Drama']
687,"O Brother, Where Art Thou?",2000,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","['Adventure', ' Comedy', ' Crime']"
688,Solo: A Star Wars Story,2018,6.9,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.","['Action', ' Adventure', ' Sci-Fi']"
689,Children of Men,2006,7.9,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","['Action', ' Drama', ' Sci-Fi']"
690,"Confess, Fletch",2022,6.5,"After becoming the prime suspect in multiple murders, Fletch strives to prove his innocence while simultaneously searching for his fiancé's stolen art collection.","['Comedy', ' Crime']"
691,Palm Springs,2020,7.4,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.","['Comedy', ' Fantasy', ' Mystery']"
692,Flight,2012,7.3,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","['Drama', ' Thriller']"
693,Fractured,2019,6.4,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",['Thriller']
694,The Day After Tomorrow,2004,6.4,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","['Action', ' Adventure', ' Sci-Fi']"
695,The Guest,2014,6.7,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.","['Action', ' Mystery', ' Thriller']"
696,The Dry,2020,6.8,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,"['Crime', ' Drama', ' Mystery']"
697,Extraction,2020,6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","['Action', ' Thriller']"
698,Vanilla Sky,2001,6.9,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,"['Fantasy', ' Mystery', ' Romance']"
699,Gerald's Game,2017,6.5,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","['Drama', ' Horror', ' Thriller']"
700,The Pursuit of Happyness,2006,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"['Biography', ' Drama']"
701,Vice,2018,7.2,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.","['Biography', ' Comedy', ' Drama']"
702,Sicario: Day of the Soldado,2018,7.0,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.","['Action', ' Crime', ' Drama']"
703,3 Idiots,2009,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","['Comedy', ' Drama']"
704,The Happening,2008,5.0,"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.","['Adventure', ' Drama', ' Sci-Fi']"
705,Incendies,2010,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"['Drama', ' Mystery']"
706,Shortbus,2006,6.4,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.","['Comedy', ' Drama', ' Romance']"
707,Transformers: Age of Extinction,2014,5.6,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.","['Action', ' Adventure', ' Sci-Fi']"
708,War Dogs,2016,7.1,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","['Biography', ' Comedy', ' Crime']"
709,Tomb Raider,2018,6.3,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.","['Action', ' Adventure', ' Fantasy']"
710,Road Trip,2000,6.5,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,['Comedy']
711,Godzilla vs. Kong,2021,6.3,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,"['Action', ' Sci-Fi', ' Thriller']"
712,American Gangster,2007,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","['Biography', ' Crime', ' Drama']"
713,Mystic River,2003,7.9,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"['Crime', ' Drama', ' Mystery']"
714,Pitch Perfect 2,2015,6.4,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.","['Comedy', ' Music']"
715,Judas and the Black Messiah,2021,7.4,"Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.","['Biography', ' Drama', ' History']"
716,Nanny McPhee Returns,2010,6.1,"Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.","['Comedy', ' Family', ' Fantasy']"
717,Pearl Harbor,2001,6.2,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,"['Action', ' Drama', ' History']"
718,Enchanted,2007,7.1,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","['Animation', ' Adventure', ' Comedy']"
719,Bad Times at the El Royale,2018,7.1,"Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.","['Crime', ' Drama', ' Mystery']"
720,Under the Skin,2013,6.3,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.","['Drama', ' Horror', ' Mystery']"
721,The Secret Life of Walter Mitty,2013,7.3,"When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined.","['Adventure', ' Comedy', ' Drama']"
722,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","['Action', ' Adventure', ' Fantasy']"
723,King Kong,2005,7.2,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.","['Action', ' Adventure', ' Drama']"
724,Soul,2020,8.0,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","['Animation', ' Adventure', ' Comedy']"
725,Fantastic Beasts and Where to Find Them,2016,7.2,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"['Adventure', ' Family', ' Fantasy']"
726,After We Collided,2020,5.0,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","['Drama', ' Romance']"
727,Remember the Titans,2000,7.8,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"['Biography', ' Drama', ' Sport']"
728,The Hobbit: The Desolation of Smaug,2013,7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",['Fantasy']
729,What Happened to Monday,2017,6.8,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.","['Action', ' Crime', ' Fantasy']"
730,Flushed Away,2006,6.6,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.","['Animation', ' Action', ' Adventure']"
731,Flora and Son,2023,8.5,"It follows Flora, a single mom who is at war with her son, Max. Trying to find a hobby for Max, she rescues a guitar from a dumpster and finds that one person's trash can be a family's salvation.","['Drama', ' Music']"
732,Malignant,2021,6.2,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.","['Crime', ' Horror', ' Mystery']"
733,Trolls,2016,6.4,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","['Animation', ' Adventure', ' Comedy']"
734,Wet Hot American Summer,2001,6.5,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.","['Comedy', ' Romance']"
735,Burnt,2015,6.6,"Adam Jones is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.","['Comedy', ' Drama']"
736,Sex and Lucía,2001,7.1,"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life.","['Drama', ' Romance']"
737,Spider-Man 2,2004,7.4,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"['Action', ' Adventure', ' Sci-Fi']"
738,The Patriot,2000,7.2,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"['Action', ' Drama', ' History']"
739,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.","['Adventure', ' Family', ' Fantasy']"
740,Emily,2022,6.9,"Emily imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers who died too soon at the age of 30.","['Biography', ' Drama', ' Romance']"
741,The Contractor,2022,5.8,"A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.","['Action', ' Drama', ' Thriller']"
